N,Nᵤ,δ_nS,duration,seed,method,TPRₑ,TPRᵢ,TPR,FPR,AUC,AUCₑ,AUCᵢ
5,100,5.0,600.0,1,STA_corr_2pass,1.0,1.0,1.0,0.07,0.9650000000000001,0.9650000000000001,0.9650000000000001
5,100,5.0,600.0,1,STA_height,1.0,1.0,1.0,0.06,0.98,0.98,0.98
5,100,5.0,600.0,1,fit_upstroke,1.0,1.0,1.0,0.05,1.0,1.0,1.0
5,100,5.0,600.0,2,fit_upstroke,1.0,1.0,1.0,0.05,1.0,1.0,1.0
5,100,5.0,600.0,2,STA_corr_2pass,1.0,1.0,1.0,0.05,0.995,0.995,0.995
5,100,5.0,600.0,2,STA_height,1.0,1.0,1.0,0.05,0.975,0.975,0.975
5,100,5.0,600.0,3,fit_upstroke,1.0,1.0,1.0,0.05,1.0,1.0,1.0
5,100,5.0,600.0,3,STA_corr_2pass,1.0,1.0,1.0,0.05,0.995,0.995,0.995
5,100,5.0,600.0,3,STA_height,1.0,1.0,1.0,0.05,0.985,0.985,0.985
5,100,5.0,600.0,4,STA_corr_2pass,1.0,1.0,1.0,0.05,0.99,0.99,0.99
5,100,5.0,600.0,4,fit_upstroke,1.0,1.0,1.0,0.05,1.0,1.0,1.0
5,100,5.0,600.0,4,STA_height,1.0,1.0,1.0,0.05,0.965,0.965,0.965
5,100,5.0,600.0,5,fit_upstroke,1.0,1.0,1.0,0.05,1.0,1.0,1.0
5,100,5.0,600.0,5,STA_height,1.0,1.0,1.0,0.06,0.99,0.99,0.99
5,100,5.0,600.0,5,STA_corr_2pass,1.0,1.0,1.0,0.04,0.98,0.98,0.98
20,100,2.3,600.0,1,STA_corr_2pass,1.0,1.0,1.0,0.04,0.98,0.98,0.98
20,100,2.3,600.0,1,STA_height,0.8125,1.0,0.85,0.06,0.8159999999999995,0.7800000000000004,0.96
20,100,2.3,600.0,1,fit_upstroke,1.0,1.0,1.0,0.05,1.0,1.0,1.0
20,100,2.3,600.0,2,fit_upstroke,1.0,1.0,1.0,0.05,1.0,1.0,1.0
20,100,2.3,600.0,2,STA_height,1.0,1.0,1.0,0.05,0.99,0.99,0.99
