,we_pS,seed,median_Vm_mV,output_rate_Hz
0,0.0,0,-64.99999991385789,0.0
1,0.0,1,-64.99999991385789,0.0
2,0.0,2,-64.99999991385789,0.0
3,0.0,3,-64.99999991385789,0.0
4,0.0,4,-64.99999991385789,0.0
5,2.5,0,-60.66414884266878,0.0
6,2.5,1,-60.67908946865694,0.0
7,2.5,2,-60.67317900416283,0.0
8,2.5,3,-60.647374583941065,0.0
9,2.5,4,-60.65648397611946,0.0
10,5.0,0,-57.58779480683665,0.0
11,5.0,1,-57.61959063806639,0.0
12,5.0,2,-57.60219754750457,0.0
13,5.0,3,-57.56894787149525,0.0
14,5.0,4,-57.57620357430382,0.0
15,7.5,0,-55.285007028727954,0.0
16,7.5,1,-55.324817978561605,0.0
17,7.5,2,-55.30319709714228,0.0
18,7.5,3,-55.26024018228908,0.0
19,7.5,4,-55.26456170978414,0.0
20,10.0,0,-53.4072247305637,0.0
21,10.0,1,-53.46315777902956,0.0
22,10.0,2,-53.43413415507535,0.0
23,10.0,3,-53.3743751952677,0.0
24,10.0,4,-53.44127979006892,0.2
25,11.0,0,-53.127476909407235,1.0
26,11.0,1,-52.98192262700997,0.7
27,11.0,2,-52.993046981299166,0.7
28,11.0,3,-53.301990472374015,1.3
29,11.0,4,-53.21151549210818,1.2
30,12.0,0,-53.20176927839665,2.1
31,12.0,1,-53.60557477047433,2.2
32,12.0,2,-53.43453216241289,2.1
33,12.0,3,-53.50229940629371,2.3
34,12.0,4,-53.599501700328965,2.4
35,12.5,0,-53.625394043814524,2.7
36,12.5,1,-53.77069220792601,2.8
37,12.5,2,-53.530931030814216,2.7
38,12.5,3,-53.66214374904758,2.8
39,12.5,4,-53.56701398101522,2.7
40,13.0,0,-53.784271803522515,3.2
41,13.0,1,-53.6935534938261,3.0
42,13.0,2,-53.775859134301705,3.1
43,13.0,3,-53.936672167261605,3.3
44,13.0,4,-53.98179250622837,3.3
45,14.0,0,-53.595980414966185,3.7
46,14.0,1,-54.08337990060795,3.9
47,14.0,2,-53.96697508711373,3.8
48,14.0,3,-53.93754728503417,4.0
49,14.0,4,-54.089042272511115,4.0
50,15.0,0,-54.127681823045876,4.6
51,15.0,1,-54.07351333770942,4.5
52,15.0,2,-54.29023954620228,4.7
53,15.0,3,-53.87650711239809,4.5
54,15.0,4,-54.0983308389943,4.6
55,16.0,0,-53.99507668983179,5.2
56,16.0,1,-54.0088168481627,5.1
57,16.0,2,-54.167567803500624,5.2
58,16.0,3,-53.9599902630973,5.2
59,16.0,4,-54.097590019913,5.3
60,17.5,0,-53.95666712340133,6.1
61,17.5,1,-53.931936246526725,6.0
62,17.5,2,-54.01613255996321,6.0
63,17.5,3,-53.9808419880733,6.1
64,17.5,4,-54.03688479493902,6.2
65,20.0,0,-53.7182392577325,7.5
66,20.0,1,-53.878459883068686,7.4
67,20.0,2,-53.860055241650265,7.5
68,20.0,3,-54.09846908942397,7.8
69,20.0,4,-53.869307722540306,7.7
70,22.5,0,-53.571265509379785,8.8
71,22.5,1,-53.594406708909716,8.8
72,22.5,2,-53.648805570812996,8.8
73,22.5,3,-53.662695553740505,8.9
74,22.5,4,-53.80336885907927,9.1
75,25.0,0,-53.608815472298765,10.4
76,25.0,1,-53.51924199831897,10.2
77,25.0,2,-53.529435194003725,10.3
78,25.0,3,-53.57928063653404,10.5
79,25.0,4,-53.69661014350957,10.6
80,27.5,0,-53.29296059333878,11.7
81,27.5,1,-53.41474021551933,11.7
82,27.5,2,-53.544673216943906,11.8
83,27.5,3,-53.35397522762702,11.8
84,27.5,4,-53.28177777331318,11.7
85,30.0,0,-53.24496126420806,13.1
86,30.0,1,-53.22971874792279,13.0
87,30.0,2,-53.18405535851311,13.0
88,30.0,3,-53.16609299808472,13.2
89,30.0,4,-53.18724658379643,13.1
