,we_pS,seed,median_Vm_mV,output_rate_Hz
0,0.0,0,-64.999999913862,0.0
1,0.0,1,-64.999999913862,0.0
2,0.0,2,-64.999999913862,0.0
3,0.0,3,-64.999999913862,0.0
4,0.0,4,-64.999999913862,0.0
5,0.0,5,-64.999999913862,0.0
6,0.0,6,-64.999999913862,0.0
7,0.0,7,-64.999999913862,0.0
8,0.0,8,-64.999999913862,0.0
9,0.0,9,-64.999999913862,0.0
10,2.5,0,-60.63097644289085,0.0
11,2.5,1,-60.59166882799334,0.0
12,2.5,2,-60.818854126089725,0.0
13,2.5,3,-60.79404041310033,0.0
14,2.5,4,-60.919173770746795,0.0
15,2.5,5,-60.701534553607,0.0
16,2.5,6,-60.72777859819081,0.0
17,2.5,7,-60.79996028230196,0.0
18,2.5,8,-60.79060537237869,0.0
19,2.5,9,-60.83071193231047,0.0
20,5.0,0,-57.55488419156949,0.0
21,5.0,1,-57.48322244264643,0.0
22,5.0,2,-57.87248513187246,0.0
23,5.0,3,-57.822192387426206,0.0
24,5.0,4,-58.03722958293897,0.0
25,5.0,5,-57.674128501452,0.0
26,5.0,6,-57.71632359628565,0.0
27,5.0,7,-57.82787434852879,0.0
28,5.0,8,-57.83384105877194,0.0
29,5.0,9,-57.90326287785316,0.0
30,7.5,0,-55.26071907272152,0.0
31,7.5,1,-55.16430236767099,0.0
32,7.5,2,-55.67857209645062,0.0
33,7.5,3,-55.606206695713844,0.0
34,7.5,4,-55.884082902188325,0.0
35,7.5,5,-55.42066273332993,0.0
36,7.5,6,-55.47150687902485,0.0
37,7.5,7,-55.60540537514148,0.0
38,7.5,8,-55.634870410738245,0.0
39,7.5,9,-55.727015110335756,0.0
40,10.0,0,-53.40326784975623,0.0
41,10.0,1,-53.26700931831778,0.0
42,10.0,2,-53.943428587826496,0.0
43,10.0,3,-53.843818650570476,0.0
44,10.0,4,-54.19006454039542,0.0
45,10.0,5,-53.61357174633136,0.0
46,10.0,6,-53.67639725315514,0.0
47,10.0,7,-53.83295089298529,0.0
48,10.0,8,-53.898682016908225,0.0
49,10.0,9,-54.010788546677794,0.0
50,11.0,0,-53.04754618275545,1.0
51,11.0,1,-53.14881101788159,1.2
52,11.0,2,-53.44566873644075,0.4
53,11.0,3,-53.186521720155774,0.0
54,11.0,4,-53.58499019203237,0.0
55,11.0,5,-52.979527798461675,0.2
56,11.0,6,-53.09926318351825,0.3
57,11.0,7,-53.24121027116858,0.3
58,11.0,8,-53.29802007400654,0.1
59,11.0,9,-53.37900199481063,0.0
60,12.0,0,-53.537996643623174,2.3
61,12.0,1,-53.48027580071788,2.4
62,12.0,2,-53.041660942168654,1.0
63,12.0,3,-52.99841036218947,1.1
64,12.0,4,-53.173966255354784,0.5
65,12.0,5,-53.50992635566118,1.9
66,12.0,6,-53.32380490717801,1.8
67,12.0,7,-53.22128054303883,1.4
68,12.0,8,-53.04867162030027,1.0
69,12.0,9,-53.19964855313358,1.0
70,12.5,0,-53.743716650524895,2.8
71,12.5,1,-53.882258586192236,3.0
72,12.5,2,-53.21376357619456,1.6
73,12.5,3,-53.45211133014413,2.1
74,12.5,4,-53.169136034960914,1.1
75,12.5,5,-53.40465734183669,2.2
76,12.5,6,-53.57026404804607,2.3
77,12.5,7,-53.219083503455195,1.9
78,12.5,8,-53.38605634860687,1.9
79,12.5,9,-53.258009103908,1.6
80,13.0,0,-53.87394250651737,3.2
81,13.0,1,-53.8546255629587,3.3
82,13.0,2,-53.364743515454684,2.2
83,13.0,3,-53.52023127277021,2.4
84,13.0,4,-53.23106638845431,1.5
85,13.0,5,-53.43841200794012,2.6
86,13.0,6,-53.667697865816834,2.7
87,13.0,7,-53.50059830482991,2.4
88,13.0,8,-53.33316456663543,2.1
89,13.0,9,-53.56803632482445,2.2
90,14.0,0,-53.84608135779355,3.9
91,14.0,1,-54.04052333302967,4.1
92,14.0,2,-53.83148971391965,3.1
93,14.0,3,-53.640327196198086,3.2
94,14.0,4,-53.64452286789688,2.6
95,14.0,5,-54.10438347771326,3.7
96,14.0,6,-53.913402274391565,3.5
97,14.0,7,-53.5598071006525,3.1
98,14.0,8,-53.79528102927368,3.1
99,14.0,9,-53.51940618039693,2.8
100,15.0,0,-54.16833168572867,4.7
101,15.0,1,-53.97247894182919,4.7
102,15.0,2,-53.75331729090925,3.6
103,15.0,3,-53.92021763904818,3.9
104,15.0,4,-53.765095122838986,3.3
105,15.0,5,-53.924278107332285,4.2
106,15.0,6,-54.14454559075979,4.2
107,15.0,7,-54.01473482158763,4.0
108,15.0,8,-53.9340814077173,3.8
109,15.0,9,-53.84901779315592,3.6
110,16.0,0,-54.00416349986162,5.2
111,16.0,1,-54.18253203765245,5.4
112,16.0,2,-53.96231697268518,4.3
113,16.0,3,-54.116875756385895,4.6
114,16.0,4,-53.84160692591021,3.8
115,16.0,5,-53.97235710620407,4.8
116,16.0,6,-53.89326992559806,4.7
117,16.0,7,-53.910840773692044,4.5
118,16.0,8,-53.90834246608739,4.4
119,16.0,9,-53.91863564604598,4.2
120,17.5,0,-53.96710953337852,6.1
121,17.5,1,-53.90638864712036,6.1
122,17.5,2,-53.87483750799882,5.2
123,17.5,3,-54.04850799953034,5.5
124,17.5,4,-54.00746960390981,4.8
125,17.5,5,-53.89198991450497,5.7
126,17.5,6,-53.73523139682467,5.4
127,17.5,7,-53.98492900441141,5.4
128,17.5,8,-53.81963961858951,5.2
129,17.5,9,-53.86085233317046,5.1
130,20.0,0,-53.77514301144497,7.5
131,20.0,1,-53.769623214763534,7.7
132,20.0,2,-53.93885420281827,6.5
133,20.0,3,-53.91564687763827,6.9
134,20.0,4,-53.76502198429681,6.0
135,20.0,5,-53.96193105375672,7.2
136,20.0,6,-53.90506036715164,7.1
137,20.0,7,-53.766892662365684,6.7
138,20.0,8,-53.94865132085692,6.8
139,20.0,9,-53.9047869255504,6.5
140,22.5,0,-53.617797375587486,8.9
141,22.5,1,-53.52797943095129,9.1
142,22.5,2,-53.726754670278595,7.9
143,22.5,3,-53.749811427341186,8.1
144,22.5,4,-53.63739101582703,7.2
145,22.5,5,-53.74216496754035,8.5
146,22.5,6,-53.6747501955121,8.3
147,22.5,7,-53.721236545203325,8.2
148,22.5,8,-53.68964125197119,7.9
149,22.5,9,-53.757917810909795,7.8
150,25.0,0,-53.46629047632004,10.4
151,25.0,1,-53.47358231889555,10.5
152,25.0,2,-53.68792517486659,9.3
153,25.0,3,-53.603121274707995,9.4
154,25.0,4,-53.529472747748706,8.5
155,25.0,5,-53.64088345220566,10.0
156,25.0,6,-53.572403903311724,9.7
157,25.0,7,-53.643760861504525,9.5
158,25.0,8,-53.668126396547166,9.3
159,25.0,9,-53.60860237141481,9.1
160,27.5,0,-53.32784514341504,11.7
161,27.5,1,-53.32495894310777,12.0
162,27.5,2,-53.379506874288126,10.5
163,27.5,3,-53.473293265298054,10.8
164,27.5,4,-53.4960462320038,9.8
165,27.5,5,-53.42455273539427,11.3
166,27.5,6,-53.33953391777013,11.0
167,27.5,7,-53.50449107170317,10.8
168,27.5,8,-53.40128377856891,10.5
169,27.5,9,-53.40732665258046,10.3
170,30.0,0,-53.209046648333675,13.2
171,30.0,1,-53.20348652156113,13.4
172,30.0,2,-53.27294173600048,11.6
173,30.0,3,-53.24394474950693,12.0
174,30.0,4,-53.3555252313347,11.0
175,30.0,5,-53.365445335492424,12.7
176,30.0,6,-53.32500884217683,12.5
177,30.0,7,-53.339396943956466,12.1
178,30.0,8,-53.24376288314767,11.8
179,30.0,9,-53.28218860268267,11.5
